shortcode;url;likes;comments;tags;
BXjVa8LjtqF;https://instagram.fbru2-1.fna.fbcdn.net/vp/97bea7ecc5c73fe218598adfa032bbed/5BFEEB7C/t51.2885-15/e35/20688433_1555667237788662_8468154449339088896_n.jpg;594767;2136;indoor,kitchen appliance;
BXvO8yWj4oi;https://instagram.fbru2-1.fna.fbcdn.net/vp/f006b375025b7eda200889aae3ce3afd/5BF8A10F/t51.2885-15/e35/20837145_158931514657129_5590413648192339968_n.jpg;1323752;5706;outdoor,sky,tree,nature,lake,flock,plant,hillside;
BX1W3tUjv9O;https://instagram.fbru2-1.fna.fbcdn.net/vp/a289a83e8aede82632a9a5e16ddde291/5C14CA32/t51.2885-15/e35/20837373_1648825961797244_3618928079126134784_n.jpg;804082;2570;;
BX1q8bGjC7v;https://instagram.fbru2-1.fna.fbcdn.net/vp/a6d144e3463ebd3a652ba2f7747edafe/5BFA7034/t51.2885-15/e35/20837238_391604901242165_5392495099856814080_n.jpg;927115;7270;indoor,wall,sitting,accessory,tub,bath;
BXsqcd4DFP-;https://instagram.fbru2-1.fna.fbcdn.net/vp/e0a47474d7bf1d1435cf4b860598ad06/5C0B52FF/t51.2885-15/e35/20688616_161145854457539_6651435436918964224_n.jpg;803417;4954;outdoor,person;
BXy69E5j7Ya;https://instagram.fbru2-1.fna.fbcdn.net/vp/3022a5b2992983a0d2431da7a128ec40/5C012655/t51.2885-15/e35/20837549_1960681570844628_8298765646469005312_n.jpg;714070;3316;indoor;
BXznZzMj98X;https://instagram.fbru2-1.fna.fbcdn.net/vp/9032ee7a92106163e4c2e3c17c10a20f/5C155D0A/t51.2885-15/e35/20837506_482525158773415_3360373049361694720_n.jpg;1146164;7393;sky,water,outdoor,shore,day;
BXvBd7pjtLi;https://instagram.fbru2-1.fna.fbcdn.net/vp/353b44536d134680e71e3357aaae28a8/5C147A98/t51.2885-15/e35/20759977_1973516262934066_2158047644050522112_n.jpg;782394;3852;grass,sky,outdoor,pink,colored;
BXvIMPRDP7C;https://instagram.fbru2-1.fna.fbcdn.net/vp/8218157b2f82e525192853567315bcd1/5C37F925/t51.2885-15/e35/20766906_403547550042187_8660998897541316608_n.jpg;861045;2999;;
BYBo8RQjHum;https://instagram.fbru2-1.fna.fbcdn.net/vp/53c65f80cbc0e82da42c1856af4d693a/5BF5ECC0/t51.2885-15/e35/20902411_111442659575796_9122655234152202240_n.jpg;530538;6169;;
BX-mFmegkh8;https://instagram.fbru2-1.fna.fbcdn.net/vp/3c1f75bbb4273bc7b76ac5af8bf96556/5C175264/t51.2885-15/e35/20902790_801392510024451_2776540775968669696_n.jpg;1591077;9716;sky,outdoor;
BYFE9hcjqIj;https://instagram.fbru2-1.fna.fbcdn.net/vp/de7a0c1e479b707be3485ff8605b9023/5BFBB3F6/t51.2885-15/e35/20968651_101944303852992_4030450142959108096_n.jpg;2398501;9484;abstract,light,blur;
